,social_p,social_r,ILO_total,ILO_social,year,share1,PV_EST,PV_PER_RNK,PV_PER_RNK_UPPER,PV_STD_ERR,GE_EST,GE_PER_RNK,GE_PER_RNK_UPPER,GE_STD_ERR,RQ_EST,RQ_PER_RNK,RQ_PER_RNK_UPPER,RQ_STD_ERR,remittance_usd,remittance_gdp,gdp,incomeLevel,region,is_eca,gini,FSR,social_p_est1,social_p_est2,social_p_est2_nofsr,social_p_est2_fsr,social_p_est3,social_p_est4,social_p_est,social_r_est
Niue,,,,,,,1.450788379,96.69811249,100,0.585449457,-0.975299239,16.11374474,56.13207626,0.619420826,-0.94122535,19.9052124,50.94339752,0.509559512,,,,,,,,FALSE,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
Norway,,,22.37,15.84,2011,,1.131951451,90.29125977,98.06763458,0.1997049,1.809913397,96.63461304,99.52153015,0.227214962,1.637649655,92.30769348,99.0430603,0.229259074,760624636.9,0.152180583,3.37E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,25.9,FALSE,0.620529765,0.574517545,0.582349964,,0.572897901,0.683952899,0.572897901,0.181061025
Oman,,,3.8,2.31,2011,,0.65884918,67.96116638,83.57488251,0.20912455,0.286823094,63.94230652,73.20574188,0.233566016,0.689798713,73.55769348,81.8181839,0.23196356,39011703.51,0.04769354,1.64E+11,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,0.279734671,0.282761145,0.286302026,,0.287046305,0.225306918,0.287046305,0.127379334
Pakistan,0.066274755,0.13756273,1.68,1.3,2010,0.0959,-2.435720444,3.398058176,5.797101498,0.204798803,-0.748696208,22.11538506,37.32057571,0.198925063,-0.685545564,27.88461494,38.2775116,0.18372862,17066000000,7.004829314,8.90E+11,Lower middle income,South Asia,FALSE,29.59,FALSE,0.146792165,0.130249632,0.122156589,,0.128617871,0.082619925,0.128617871,0.098869598
Palau,,,15.79,7,2010,,1.095112085,88.1516571,100,0.597038388,-0.600231349,29.32692337,72.72727203,0.730984092,-0.837969899,22.11538506,64.11483002,0.711705625,2218252.449,0.885086271,311321490.5,Upper middle income,East Asia & Pacific (all income levels),FALSE,,FALSE,0.277353005,0.222431775,0.2311832,,0.229670151,0.182772512,0.229670151,0.120378549
Panama,0.137080158,0.195842324,6.59,4.35,2010,0.032,0.096471556,50.97087479,60.38647461,0.204798803,0.274445236,62.98077011,72.72727203,0.214330822,0.373400122,65.38461304,73.68421173,0.193786159,760300000,1.645222299,80811073456,Upper middle income,Latin America & Caribbean (all income levels),FALSE,51.67,FALSE,0.340792708,0.314204854,0.31771808,,0.316456002,0.303360826,0.316456002,0.13400006
Papua New Guinea,,,4.39,1.12,2012,,-0.33223936,33.0097084,46.85990524,0.22410281,-0.630746365,27.88461494,44.49760818,0.229780957,-0.340563446,41.82692337,52.1531105,0.199064121,10441275.95,0.061678402,21306634685,Lower middle income,East Asia & Pacific (all income levels),FALSE,43.88,FALSE,0.112261892,0.128277159,0.130904872,,0.136167853,0.124617629,0.136167853,0.099782863
Paraguay,0.222540923,0.182710378,6.35,4.07,2010,0.0406,-0.201040819,38.34951401,52.65700531,0.20912455,-0.924757421,17.30769157,30.14354134,0.202521428,-0.277904361,44.23077011,54.54545593,0.196381405,506640000,1.640627906,58391810852,Upper middle income,Latin America & Caribbean (all income levels),FALSE,48.3,FALSE,0.197349539,0.154983852,0.160975225,,0.162303023,0.180858248,0.162303023,0.10750381
Peru,0.178092904,0.143827509,6.85,5.27,2010,0.0422,-0.5222013,27.6699028,39.13043594,0.1997049,-0.276588738,43.75,56.45933151,0.193489805,0.521236658,69.2307663,75.5980835,0.18065168,2638979869,1.302580436,3.71E+11,Upper middle income,Latin America & Caribbean (all income levels),FALSE,44.73,FALSE,0.292255136,0.251349556,0.25748953,,0.256505297,0.255508923,0.256505297,0.124245194
Philippines,0.188175168,0.228298668,1.55,0.99,2012,0.0589,-0.702551365,22.81553459,30.91787529,0.1997049,0.192713708,61.53845978,71.77033234,0.193689078,-0.014282778,51.92307663,62.67942429,0.18065168,28403489247,9.973937491,6.91E+11,Lower middle income,East Asia & Pacific (all income levels),FALSE,43.04,FALSE,0.246580743,0.243782238,0.227445501,,0.233748696,0.205008252,0.233748696,0.116137563
Poland,0.593962,0.488281,20.51,15.87,2011,0.0789,0.865446568,76.69902802,91.30434418,0.1997049,0.824540734,74.5192337,85.64593506,0.203877479,1.059319735,81.7307663,89.47368622,0.173914686,7409000000,1.35953297,9.60E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,32.39,TRUE,0.513675085,0.673106782,,0.601195434,0.680361354,0.584970396,0.680361354,0.264137643
Portugal,,,25.43,18.5,2010,,0.792910159,73.30097198,88.8888855,0.1997049,1.010043025,79.80769348,88.03827667,0.227214962,0.76957798,75,84.21052551,0.229259074,424084987.1,0.184291099,2.99E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,36.04,FALSE,0.542176476,0.478060974,0.488312068,,0.479843875,0.560571992,0.479843875,0.165559885
Puerto Rico,,,,,,,0.735560656,70.87378693,88.8888855,0.233637929,0.384808779,67.78845978,74.64115143,0.281746954,0.865356863,77.88461304,89.95215607,0.340195715,,,1.26E+11,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,,,,
Qatar,,,1.74,0.22,2010,,0.999535382,83.00971222,97.10144806,0.203709543,0.992342293,78.36538696,87.55980682,0.220006078,0.566640377,70.67308044,79.42583466,0.219946399,498626373.6,0.237317877,3.05E+11,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,0.159749209,0.260622107,0.252517847,,0.260777483,0.264857042,0.260777483,0.116957045
Reunion,,,,,,,0.305950582,57.76699066,76.32849884,0.320725858,0.921581447,77.40384674,93.30143738,0.459674478,1.194253206,86.53845978,99.52153015,0.530168593,,,,,,,,FALSE,,,,,,,,
Romania,0.563182,0.409705,17.39,13.21,2010,0.0891,0.077383839,49.51456451,59.42028809,0.1997049,-0.003453607,55.76922989,65.55023956,0.203877479,0.596866012,71.63461304,78.46890259,0.173914686,3381251955,1.698748951,4.05E+11,Upper middle income,Europe & Central Asia (all income levels),TRUE,27.33,TRUE,0.40456189,0.556991025,,0.526323907,0.567197448,0.531809183,0.567197448,0.244346894
Russian Federation,,,15.97,12.01,2011,,-0.840278983,18.44660187,28.98550797,0.1997049,-0.078529522,51.44230652,62.20095825,0.203877479,-0.404619306,36.53845978,48.80382919,0.173914686,7776533918,0.417958863,3.36E+12,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,41.59,TRUE,0.381254155,0.540742156,,0.539967991,0.553090988,0.53314671,0.553090988,0.241697197
Rwanda,0.037119008,0.022847105,7.31,1.6,2010,0.0516,-0.100152932,42.71844482,57.00482941,0.217144623,0.024652118,56.25,65.55023956,0.190753147,0.181823254,58.65384674,67.46411133,0.183794245,128172555.8,1.624454548,18833245236,Low income,Sub-Saharan Africa (all income levels),FALSE,51.34,FALSE,0.226096631,0.233114987,0.233103273,,0.236088772,0.21849138,0.236088772,0.117749068
Samoa,,,4.95,1.07,2012,,1.152646899,90.77669525,99.51690674,0.259716004,0.429449588,70.67308044,77.99043274,0.332227975,-0.198899627,47.11538315,61.7224884,0.277004659,140501951,17.55355044,1110599459,Lower middle income,East Asia & Pacific (all income levels),FALSE,42.69,FALSE,0.31894687,0.289349768,0.260121737,,0.267339639,0.229914268,0.267339639,0.122070837
San Marino,,,21.4,15.32,2010,,1.095112085,88.1516571,100,0.597038388,,,,,,,,,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Sao Tome and Principe,,,,,,,0.151107356,52.91262054,65.21739197,0.25860703,-0.859601378,18.26922989,35.40670013,0.224387437,-0.73472172,25.48077011,37.79904175,0.20598112,,,,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,,FALSE,,,,,,,,
Saudi Arabia,,,3.64,1.1,2011,,-0.237764791,35.43689346,51.20772934,0.20912455,0.225133628,62.01922989,72.72727203,0.233566016,-0.006499857,53.36538315,65.55023956,0.23196356,269360000,0.035732112,1.61E+12,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,0.208863672,0.238691116,0.23932843,,0.242983114,0.202216274,0.242983114,0.117980709
Senegal,0.113677953,0.217717006,5.34,2.06,2010,0.0604,-0.127161175,41.26213455,55.55555725,0.204798803,-0.39127332,38.94230652,49.76076508,0.181937411,-0.221370101,46.15384674,54.54545593,0.172010317,1643550251,10.49685357,34232612023,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,40.28,FALSE,0.245115552,0.204163173,0.191316078,,0.196116104,0.18320438,0.196116104,0.111559919
Serbia,0.363729236,0.290820468,24.05,17.73,2011,0.0837,0.179378718,53.39805984,64.25120544,0.204798803,0.090867937,58.17307663,70.81340027,0.214526772,0.144755095,56.25,66.98564911,0.179676145,3695920470,8.425397385,96917553632,Upper middle income,Europe & Central Asia (all income levels),TRUE,29.65,TRUE,0.474843173,0.593313249,,0.461157777,0.593464495,0.482601886,0.593464495,0.249576012
Seychelles,,,7.52,4.39,2011,,0.415346652,60.19417572,72.46376801,0.222926274,0.391160458,68.2692337,74.16268158,0.204854682,-0.313824952,43.26922989,53.58851624,0.203212887,15071073.1,1.05939726,2414968238,High income: nonOECD,Sub-Saharan Africa (all income levels),FALSE,42.77,FALSE,0.3520052,0.328980533,0.333243662,,0.331590325,0.287119188,0.331590325,0.136608008
Sierra Leone,0.024101506,0.039565497,2.07,0.61,2009,0.0781,-0.219610095,36.89320374,51.20772934,0.204798803,-1.222039461,10.57692337,17.70335007,0.181937411,-0.810832798,24.03846169,32.05741501,0.172010317,62430111.56,1.290541584,12417276656,Low income,Sub-Saharan Africa (all income levels),FALSE,33.99,FALSE,-0.001583673,0.023643335,0.023060498,,0.032035215,0.078773372,0.032035215,0.080463834
Singapore,,,2.83,1.63,2011,,1.225989819,92.23300934,99.51690674,0.1997049,2.193888903,100,100,0.220006078,2.230508089,100,100,0.207180932,,,4.53E+11,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,0.509956452,0.41463789,0.509956452,0.164570727
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,62117318.44,,1214600999,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,,,,
Slovak Republic,0.43040267,0.389464188,18.1,11.39,2011,0.0863,1.020893574,84.95145416,97.58454132,0.203709543,0.871013641,75.4807663,87.08133698,0.219925269,0.896550357,78.84615326,88.03827667,0.19992882,2394962301,2.389023004,1.53E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,26.12,TRUE,0.495751874,0.664538715,,0.68625108,0.669980322,0.63159958,0.669980322,0.261527311
Slovenia,0.62540764,0.33581189,23.74,17.42,2011,0.0973,0.79315567,73.78640747,88.8888855,0.1997049,1.008554101,79.32691956,87.55980682,0.219925269,0.6626122,73.07691956,79.9043045,0.190196574,757288177.1,1.530139692,62689746154,High income: OECD,Europe & Central Asia (all income levels),TRUE,25.59,TRUE,0.543676326,0.701814752,,0.604957775,0.708075494,0.579701501,0.708075494,0.269106275
Small states,,,,,,,,,,,,,,,,,,,5257682485,3.802935576,3.19E+11,Aggregates,Aggregates,FALSE,,FALSE,,,,,,,,
Solomon Islands,,,8.25,1.3,2010,,0.486038238,62.62136078,82.12560272,0.294573128,-1.070203066,15.38461494,30.14354134,0.292693824,-1.108169794,12.01923084,28.22966576,0.258551925,16335086.98,1.410406319,1218975360,Lower middle income,East Asia & Pacific (all income levels),FALSE,46.1,FALSE,0.081451747,0.080310589,0.082305393,,0.088162111,0.083348523,0.088162111,0.091960025
Somalia,0,0,,,,,-2.487877846,1.941747546,5.314009666,0.218231544,-2.479668617,0,0.95693779,0.225884035,-2.113862753,1.442307711,3.349282265,0.222535998,21700494.77,,,Low income,Sub-Saharan Africa (all income levels),FALSE,,FALSE,,,,,,,,
South Africa,0.732735956,0.090870765,9.79,5.05,2010,0.0245,-0.075600892,43.20388412,57.00482941,0.1997049,0.328388512,65.38461304,72.72727203,0.1753048,0.322008103,63.94230652,71.29186249,0.166935101,913403103.7,0.260867365,7.05E+11,Upper middle income,Sub-Saharan Africa (all income levels),FALSE,63.38,FALSE,0.352770184,0.326457906,0.332778142,,0.330544278,0.28617175,0.330544278,0.136782911
South Asia,,,,,,,,,,,,,,,,,,,1.16E+11,4.462850809,9.14E+12,Aggregates,Aggregates,FALSE,,FALSE,,,,,,,,
South Sudan,,,,,,,-2.538293362,0.970873773,5.314009666,0.250697613,-2.125386477,0.480769217,1.91387558,0.225775078,-1.632524252,4.326922894,8.133971214,0.215503633,,,24047201328,Low income,Sub-Saharan Africa (all income levels),FALSE,,FALSE,,,,,,,,
Spain,0.52520472,0.428425678,26.41,19.19,2011,0.0541,0.316318423,58.25242615,67.63285065,0.1997049,1.154105306,84.61538696,90.90908813,0.227214962,0.77715379,75.4807663,84.21052551,0.229259074,3119047271,0.225798321,1.56E+12,High income: OECD,Europe & Central Asia (all income levels),TRUE,35.89,FALSE,0.562075348,0.498637985,0.508641161,,0.499763113,0.561470425,0.499763113,0.169054396
Sri Lanka,0.084881175,0.08099955,3,1.69,2012,0.0772,-0.250507236,34.95145798,50.24154663,0.204798803,0.088806763,57.21154022,69.37799072,0.198925063,-0.083397962,50,60.28708267,0.18372862,7036326551,8.926673805,2.31E+11,Lower middle income,South Asia,FALSE,38.58,FALSE,0.275261745,0.254715695,0.24257653,,0.246838982,0.172012426,0.246838982,0.119723277
St. Kitts and Nevis,,,5.61,3.01,2010,,0.497963995,63.59223175,79.71014404,0.277110815,-0.081562296,50.48077011,71.77033234,0.351028442,0.165600479,57.21154022,74.16268158,0.333778769,51570135.92,6.051390437,1276870574,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.290668519,0.256411582,0.251853199,,0.253642325,0.25419346,0.253642325,0.122342341
St. Lucia,,,5.97,1.72,2010,,0.882926285,78.1553421,96.13526917,0.259716004,-0.018691333,53.84615326,71.29186249,0.305306077,0.240645543,61.53845978,73.20574188,0.268312782,30146932.59,2.146559137,1971069833,Upper middle income,Latin America & Caribbean (all income levels),FALSE,42.58,FALSE,0.229983702,0.231746874,0.231260359,,0.234173218,0.244111797,0.234173218,0.117604468
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,,,,
St. Vincent and the Grenadines,,,8.25,4.35,2010,,0.882926285,78.1553421,96.13526917,0.259716004,0.120847523,59.13461685,73.68421173,0.351028442,0.314158499,62.98077011,75.5980835,0.28911081,32558995.33,4.464359848,1173136086,Upper middle income,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.337477169,0.298317706,0.297469992,,0.297128537,0.287995849,0.297128537,0.130699059
Sudan,,,2.27,0.29,2010,,-2.356237173,3.883495092,5.797101498,0.218231544,-1.606815577,3.846153736,8.612440109,0.195625097,-1.390012026,6.730769157,12.91866016,0.180995271,506556821.9,0.686252365,1.60E+11,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,35.39,FALSE,-0.112705066,-0.063390818,-0.065154211,,-0.052762798,0.035021625,-0.052762798,0.064103832
Suriname,,,,,,,0.225789025,55.82524109,65.21739197,0.2142739,-0.156905994,46.63461685,62.20095825,0.256379634,-0.601935565,29.80769157,48.32535934,0.275265872,8833808.604,0.169545006,8955141744,Upper middle income,Latin America & Caribbean (all income levels),FALSE,57.61,FALSE,,,,,,,,
Swaziland,,,7.32,1.78,2010,,-0.519841969,28.15534019,40.09661865,0.222926274,-0.531717181,31.73077011,45.45454407,0.202125341,-0.455334932,34.13461685,48.80382919,0.203212887,24495451.62,0.555088422,10523588150,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,51.45,FALSE,0.165932558,0.164371441,0.167861379,,0.171295951,0.165357847,0.171295951,0.106952011
Sweden,0.45691392,0.347844955,28.3,21.31,2010,0.0952,1.074461341,86.89320374,98.06763458,0.1997049,1.788798094,95.67308044,99.52153015,0.227214962,1.80319798,96.15384674,99.52153015,0.229259074,4442308851,0.77786428,4.39E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,27.32,FALSE,0.646762569,0.587083918,0.59514411,,0.584754508,0.577610756,0.584754508,0.183834879
Switzerland,,,20.55,13.82,2010,,1.244467497,93.68932343,99.51690674,0.203709543,2.128141403,99.5192337,100,0.227214962,1.818042755,96.63461304,99.52153015,0.246931031,2349310421,0.335119254,4.88E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,31.64,FALSE,0.646283974,0.609551184,0.615785758,,0.606266393,0.739462239,0.606266393,0.186415761
Syrian Arab Republic,0.044907746,0.122552925,1.91,0.35,2010,0.0768,-2.757420301,0,3.864734411,0.218231544,-1.441382885,6.730769157,16.26794243,0.242710754,-1.67392683,3.846153736,8.133971214,0.22436519,1622538750,2.550284149,,Lower middle income,Middle East & North Africa (all income levels),FALSE,35.77,FALSE,-0.068086247,-0.030035241,-0.03451653,,-0.022745304,0.023581367,-0.022745304,0.069705333
São Tomé and Príncipe,,,4.93,0.74,2010,,,,,,,,,,,,,,26827848.81,7.951030573,591869648.2,,,,30.82,FALSE,,,,,,,,
Taiwan,,,9.68,6.36,2010,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
"Taiwan, China",,,,,,,0.80479908,75.24272156,90.33816528,0.203709543,1.374458909,87.9807663,94.73683929,0.220006078,1.297472477,88.94230652,92.82296753,0.219946399,,,,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
Tajikistan,,,6.75,4.96,2012,,-0.677500665,23.30097008,33.33333206,0.222926274,-0.74627769,22.59615326,39.71291733,0.219038635,-1.01020658,15.86538506,26.79425812,0.186795071,3975183338,43.0138868,22322055384,Lower middle income,Europe & Central Asia (all income levels),TRUE,30.77,TRUE,0.445021,0.472767068,,0.605933481,0.425799366,0.461376973,0.425799366,0.217724252
Tanzania,0.04670888,0.055755721,6.81,2.33,2010,0.0739,-0.536367834,27.18446541,38.64734268,0.204798803,-0.64241451,26.92307663,42.10526276,0.181937411,-0.342903763,41.34615326,50.71770477,0.172010317,389485169,0.810470388,1.28E+11,Low income,Sub-Saharan Africa (all income levels),FALSE,37.78,FALSE,0.177645351,0.163418453,0.167847137,,0.170540525,0.161598104,0.170540525,0.107502689
Thailand,0.292545052,0.511484129,7.24,4.98,2011,0.0676,-0.907829225,16.5048542,26.08695602,0.1997049,0.339194238,65.86538696,72.72727203,0.193689078,0.265883297,62.01922989,70.33493042,0.18065168,5655231605,1.396960722,1.07E+12,Upper middle income,East Asia & Pacific (all income levels),FALSE,39.26,FALSE,0.358583846,0.328834551,0.333173258,,0.331221042,0.265452156,0.331221042,0.136863262
Timor-Leste,,,4.24,2.61,2013,,-0.216716021,37.37863922,52.65700531,0.222926274,-1.155138612,12.5,21.53110123,0.229407817,-0.886472464,19.71153831,32.05741501,0.223372877,43679895.14,3.082561407,2699317326,Lower middle income,East Asia & Pacific (all income levels),FALSE,31.56,FALSE,0.140059096,0.105535485,0.107808598,,0.111575891,0.09252864,0.111575891,0.097718395
Togo,,,5.73,2.31,2010,,-0.164121732,39.32038879,54.58937073,0.218231544,-1.258784652,9.615385056,16.74641228,0.195208579,-0.820584118,23.07692337,32.05741501,0.180995271,343227931.9,7.596154155,10166292676,Low income,Sub-Saharan Africa (all income levels),FALSE,46.02,FALSE,0.140600322,0.09267571,0.08713664,,0.092559825,0.099684625,0.092559825,0.094162345
Tonga,,,8.11,1.05,2005,,0.804228425,74.75727844,93.71981049,0.277110815,-0.080587462,50.96154022,70.81340027,0.332227975,-0.443694979,35.09615326,53.58851624,0.277004659,114197741.2,26.28981777,550220381.8,Upper middle income,East Asia & Pacific (all income levels),FALSE,38.1,FALSE,0.303141571,0.234771515,0.19202931,,0.202237624,0.178588351,0.202237624,0.110904218
Trinidad and Tobago,,,8.96,5.64,2010,,0.257796884,57.28155518,66.18357849,0.2142739,0.287058145,64.42308044,72.72727203,0.217138514,0.209297106,59.61538315,70.81340027,0.220634446,130993692.7,0.453537444,43299057266,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,40.27,FALSE,0.358493716,0.326727286,0.333276499,,0.330749825,0.314349218,0.330749825,0.13709695
Tunisia,,,10.4,8.91,2011,,-0.933423281,15.04854393,25.60386467,0.204798803,-0.128385961,48.55769348,60.76554871,0.181937411,-0.348509848,40.86538315,50.23923492,0.161920503,2346621114,4.827181809,1.26E+11,Upper middle income,Middle East & North Africa (all income levels),FALSE,35.81,FALSE,0.372285128,0.30124336,0.303321472,,0.300847573,0.225587225,0.300847573,0.133144217
Turkey,0.291433604,0.203954872,13.11,7.21,2011,0.058,-1.059115291,12.13592243,21.73913002,0.1997049,0.380740196,67.30769348,73.68421173,0.193633929,0.408024341,66.34615326,73.20574188,0.169058636,1128000000,0.141277392,1.50E+12,Upper middle income,Europe & Central Asia (all income levels),TRUE,40.17,FALSE,0.388758643,0.350385172,0.358256365,,0.354553707,0.586279144,0.354553707,0.141782442
Turkmenistan,,,,,,,0.075177938,48.54368973,60.86956406,0.227393225,-0.8635934,17.78846169,36.84210587,0.257092237,-2.08873868,1.923076868,3.349282265,0.195624426,4420000.076,0.18577035,82121218423,Upper middle income,Europe & Central Asia (all income levels),TRUE,40.77,TRUE,,,,,,,,
Tuvalu,,,13.36,4.68,2005,,1.331596732,97.08737946,99.51690674,0.320725858,-0.93485254,16.82692337,39.23445129,0.332227975,-0.92881602,19.23077011,36.36363602,0.315525264,4056908.045,10.7156794,37250134.89,Upper middle income,East Asia & Pacific (all income levels),FALSE,,FALSE,0.254289915,0.173624016,0.165045217,,0.16786563,0.13564534,0.16786563,0.108806408
Uganda,0.482050796,0.118681316,3.46,1.16,2011,0.0581,-0.929117143,16.01941681,25.60386467,0.204798803,-0.398749471,38.46154022,49.76076508,0.181937411,-0.364753127,39.42307663,50.23923492,0.172010317,887407496.3,3.2868798,66908235114,Low income,Sub-Saharan Africa (all income levels),FALSE,42.37,FALSE,0.158301428,0.164838734,0.16168894,,0.167077331,0.169704237,0.167077331,0.105150579
Ukraine,0.494578751,0.300794996,17.42,13.6,2011,0.1021,-1.928835511,6.310679436,7.729468822,0.1997049,-0.379533857,40.38461685,53.11004639,0.203877479,-0.625545442,28.84615326,42.10526276,0.173914686,7354000000,5.579449132,3.71E+11,Lower middle income,Europe & Central Asia (all income levels),TRUE,24.55,FALSE,0.383590725,0.290203581,0.293346015,,0.289936172,0.490705723,0.289936172,0.132348169
United Arab Emirates,,,3.76,2.16,2011,,0.814825118,75.72815704,90.33816528,0.1997049,1.477284908,90.38461304,97.60765839,0.220006078,0.977290392,80.28845978,89.47368622,0.207180932,,,6.15E+11,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,,,,,0.433559243,0.342451667,0.433559243,0.152233277
United Kingdom,0.68410164,0.414240288,23.84,16.35,2010,0.0577,0.440196574,60.67961121,72.46376801,0.1997049,1.616175532,92.78845978,98.56459045,0.227214962,1.830115318,97.11538696,99.52153015,0.229259074,4922776465,0.164702316,2.60E+12,High income: OECD,Europe & Central Asia (all income levels),TRUE,32.57,FALSE,0.60106821,0.550874563,0.559260472,,0.550070002,0.657331552,0.550070002,0.177242169
United States,0.63,0.09,19.92,11.34,2010,0.047,0.620341301,66.99028778,79.71014404,0.1997049,1.457500935,89.90384674,97.60765839,0.227214962,1.271839499,88.46154022,92.82296753,0.229259074,6908000000,0.039657845,1.74E+13,High income: OECD,North America,FALSE,41.06,FALSE,0.550785122,0.51228611,0.519732876,,0.512201761,0.613949193,0.512201761,0.16985088
Uruguay,0.231739981,0.211516278,17.9,13.05,2010,0.0523,0.999895573,83.49514771,97.10144806,0.204798803,0.480369806,71.15384674,74.16268158,0.202521428,0.521544099,69.71154022,75.5980835,0.187134713,122034000,0.212340026,71414080007,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,41.87,FALSE,0.451521495,0.392259043,0.402234242,,0.396119544,0.326433118,0.396119544,0.150379368
Uzbekistan,,,11.16,8.43,2010,,-0.232446373,36.40776825,52.17391205,0.221862942,-0.631766915,27.40384674,44.49760818,0.231237292,-1.737854004,3.365384579,5.74162674,0.177457109,,,1.71E+11,Lower middle income,Europe & Central Asia (all income levels),TRUE,35.27,TRUE,,,,,0.466158846,0.487443408,0.466158846,0.225956286
Vanuatu,,,5.43,0.75,2010,,0.659078002,68.44660187,90.33816528,0.294573128,-0.546169817,31.25,55.98086166,0.332227975,-0.352631718,40.38461685,55.02392197,0.277004659,28125315.44,3.451152438,784559997.6,Lower middle income,East Asia & Pacific (all income levels),FALSE,37.18,FALSE,0.104749992,0.12472464,0.119836283,,0.12719005,0.127346442,0.12719005,0.097237214
"Venezuela, RB",0,0,6.85,5.3,2010,,-0.825354695,18.93203926,29.46859932,0.1997049,-1.228953838,10.09615421,17.70335007,0.193489805,-1.805822849,2.884615421,4.78468895,0.18065168,121193609,0.030947878,5.53E+11,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,46.94,FALSE,0.176921684,0.125902877,0.136372226,,0.136945291,0.160449298,0.136945291,0.103839475
Vietnam,0.244200047,0.247565383,6.28,3.74,2010,0.0703,-0.003105781,46.11650467,58.45410538,0.204798803,-0.062304392,52.40384674,62.20095825,0.198925063,-0.591229796,30.28846169,44.01913834,0.18372862,8600000000,6.345014409,5.11E+11,Lower middle income,East Asia & Pacific (all income levels),FALSE,38.7,FALSE,0.313022663,0.269887286,0.265690967,,0.266689839,0.214396982,0.266689839,0.125118925
Virgin Islands (U.S.),,,,,,,1.26575017,94.6601944,99.51690674,0.277110815,1.173792481,86.05769348,98.56459045,0.459674478,0.514969826,68.75,89.47368622,0.530168593,,,,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,,,,
West Bank and Gaza,,,,,,,-1.985716343,5.825242519,8.212560654,0.246550292,-0.527716279,32.21154022,56.45933151,0.340416402,0.27653414,62.5,77.51196289,0.353684753,2182495003,17.13425413,19364673167,Lower middle income,Middle East & North Africa (all income levels),FALSE,34.46,FALSE,,,,,,,,
"Yemen, Rep.",0.10970581,0.078327289,5.9,4.4,2011,0.0784,-2.526828289,1.45631063,5.314009666,0.2142739,-1.405440688,7.211538315,15.78947353,0.210821003,-0.844803691,21.63461494,32.53588486,0.200749993,3350500000,9.296471334,96633974187,Lower middle income,Middle East & North Africa (all income levels),FALSE,35.89,FALSE,0.187742943,0.107357664,0.101973723,,0.105632238,0.078494468,0.105632238,0.098021624
Zambia,0.144864726,0.106806568,5.46,1.8,2011,0.0358,0.20562999,55.3398056,64.73429871,0.204798803,-0.468505681,36.05769348,46.41148376,0.181937411,-0.515723944,32.21154022,45.93301392,0.172010317,58300302.43,0.215398681,61376523104,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,55.62,FALSE,0.17242513,0.172643078,0.176602299,,0.179796638,0.171957474,0.179796638,0.108432077
Zimbabwe,,,5.6,1.3,2011,,-0.648449421,23.78640747,33.33333206,0.204798803,-1.175939083,12.01923084,18.18181801,0.190354973,-1.888607144,2.403846264,4.78468895,0.177133039,43685417.18,0.633978778,27313163340,Low income,Sub-Saharan Africa (all income levels),FALSE,,FALSE,0.065365496,0.065430311,0.068965075,,0.074857166,0.094046809,0.074857166,0.08968763
